"season","player_name","avg_passing_epa","avg_rushing_epa","avg_fantasy_points","tot_completions","tot_attempts","tot_passing_yards","tot_passing_tds","tot_ints","tot_carries","tot_rushing_yards","tot_rushing_tds","passing_yard_rank","fantasy_rank","rushing_yard_rank","passing_td_rank","rushing_td_rank","completion_percentage","comp_percentage_rank","passing_epa_rank"
2020,"J.Allen",10.5740440622369,-0.00145455837340927,24.69125,396,572,4544,37,10,102,421,8,5,3,7,5,3,0.692307692307692,4,3
2020,"J.Burrow",4.89667249719119,NA,17.372,264,404,2688,13,5,37,142,3,23,17,20,25,15,0.653465346534653,22,14
2020,"J.Goff",1.65567525424826,NA,15.9986666666667,370,552,3952,20,13,51,99,4,14,24,25,19,9,0.670289855072464,13,23
2020,"J.Herbert",5.94418634111795,NA,22.1893333333333,396,595,4336,31,10,55,234,5,6,8,12,10,7,0.665546218487395,16,9
2020,"K.Cousins",5.73058891472705,NA,19.1375,349,516,4265,35,13,32,156,1,8,12,17,6,28,0.676356589147287,10,11
2020,"K.Murray",2.11273710609093,2.74573094831926,23.67125,375,558,3971,26,12,133,819,11,13,5,2,13,2,0.672043010752688,12,22
2020,"L.Jackson",3.75303031588771,2.66488690093366,22.1853333333333,242,376,2757,26,9,159,1005,7,22,9,1,14,4,0.643617021276596,27,18
2020,"M.Glennon",-3.5597787174832,NA,12.116,111,179,1072,7,5,6,17,0,37,32,30,35,34,0.620111731843575,33,31
2020,"M.Ryan",4.27568076284722,NA,17.6525,407,626,4581,26,11,29,92,2,4,15,28,15,19,0.650159744408946,23,16
2020,"M.Stafford",3.49043112478853,NA,16.285,339,528,4084,26,10,29,112,0,12,22,23,16,35,0.642045454545455,28,20
2020,"M.Trubisky",NA,0.921759511598097,15.37,199,297,2055,16,8,33,195,1,30,26,14,22,29,0.67003367003367,14,37
2020,"N.Foles",-3.73946260421282,NA,11.5755555555556,202,312,1852,10,8,16,1,1,32,34,35,31,30,0.647435897435897,25,32
2020,"N.Mullens",-0.0498801064819749,NA,11.628,211,326,2437,12,12,9,8,0,26,33,32,27,36,0.647239263803681,26,25
2020,"P.Mahomes",12.1913602108676,NA,24.96,390,588,4740,38,6,62,308,2,2,2,8,4,20,0.663265306122449,17,1
2020,"P.Rivers",6.52112857029947,NA,14.9975,369,543,4169,24,11,18,-8,0,10,27,37,18,37,0.679558011049724,9,7
2020,"R.Fitzpatrick",5.17635755492586,NA,16.9711111111111,183,267,2091,13,8,30,151,2,29,20,18,26,21,0.685393258426966,7,13
2020,"R.Tannehill",7.88315158771723,NA,21.71,315,481,3819,34,7,43,266,7,15,10,11,7,5,0.654885654885655,21,6
2020,"R.Wilson",4.89197201372085,0.126165088726339,22.48625,384,558,4212,40,13,83,513,2,9,7,4,2,22,0.688172043010753,6,15
2020,"S.Darnold",-6.41359615001455,NA,11.1683333333333,217,364,2208,9,11,37,217,2,27,35,13,33,23,0.596153846153846,35,35
2020,"T.Brady",8.331635870607,NA,21.12,401,610,4633,40,12,30,6,3,3,11,33,3,16,0.657377049180328,19,5
2020,"T.Bridgewater",2.23412848954796,NA,16.0813333333333,340,492,3733,15,11,53,279,5,17,23,9,23,8,0.691056910569106,5,21
2020,"T.Tagovailoa",-1.35101895746521,NA,13.546,186,290,1814,11,5,36,109,3,33,29,24,29,17,0.641379310344828,29,28
