passer_player_name,season,MVP,posteam,wins,losses,pct,tot_rushing_yards,tot_rushing_tds,tot_games_played,avg_air_epa,epa_play,avg_wpa,tot_completions,tot_attempts,tot_passing_yards,tot_passing_tds,tot_ints,avg_cpoe,passing_yard_rank,cpoe_rank,avg_wpa_rank,epa_rank,passing_td_rank,completion_percentage,comp_percentage_rank,passing_epa_rank,tot_yards,tot_tds,tot_yard_rank,tot_td_rank,played_ten_games,win_rank
P.Manning,2002,0,IND,10,6,0.625,148,2,16,NA,0.0815422498422809,NA,392,617,4200,27,19,NA,1,35,34,13,4,0.635332252836305,4,34,4348,29,2,2,1,10
P.Ramsey,2002,0,WAS,7,9,0.4375,-1,1,9,NA,-0.0490037954026688,NA,117,247,1539,9,8,NA,33,36,35,30,32,0.473684210526316,44,35,1538,10,34,33,0,30.5
Q.Carter,2002,0,DAL,5,11,0.3125,91,0,7,NA,-0.0669091258532074,NA,125,240,1465,7,8,NA,34,37,36,36,39,0.520833333333333,35,36,1556,7,33,38.5,0,39.5
R. Gannon,2002,0,LV,11,5,0.6875,99,2,10,NA,0.199281973818258,NA,239,380,2641,12,4,NA,19,38,37,2,27,0.628947368421053,5,37,2740,14,22,23.5,1,6
R. Lucas,2002,0,MIA,9,7,0.5625,128,2,6,NA,-0.1151667614479,NA,92,173,1045,4,6,NA,41,39,38,40,45,0.531791907514451,34,38,1173,6,41,42.5,0,17
R.Peete,2002,0,CAR,7,9,0.4375,14,0,14,NA,-0.0929143855301794,NA,223,412,2630,15,14,NA,20,40,40,38,20,0.54126213592233,29,40,2644,15,23,20.5,1,30.5
S.Matthews,2002,0,WAS,7,9,0.4375,31,0,7,NA,-0.0619955967982616,NA,124,246,1251,11,6,NA,37,41,41,34,29,0.504065040650406,38,41,1282,11,38,30.5,0,30.5
S.McNair,2002,0,TEN,11,5,0.6875,440,3,16,NA,0.099863462807607,NA,301,515,3387,22,15,NA,8,42,42,10,8,0.584466019417476,19,42,3827,25,6,7,1,6
T. Green,2002,0,KC,8,8,0.5,225,1,16,NA,0.184534251859746,NA,287,497,3690,26,13,NA,5,43,43,4,5,0.577464788732394,22,43,3915,27,4,5.5,1,23.5
T.Brady,2002,0,NE,9,7,0.5625,110,1,16,NA,0.0105794051657546,NA,373,636,3764,28,14,NA,4,44,44,21,1,0.586477987421384,17,44,3874,29,5,2,1,17
T.Couch,2002,0,CLE,9,7,0.5625,77,0,14,NA,-0.0131090404334639,NA,273,474,2842,18,18,NA,16,45,45,23,14,0.575949367088608,24,45,2919,18,16,17,1,17
T.Dilfer,2002,0,SEA,7,9,0.4375,27,0,6,NA,-0.0529968431147349,NA,94,175,1182,4,6,NA,39,46,46,33,46,0.537142857142857,32,46,1209,4,40,45.5,0,30.5
T.Maddox,2002,0,PIT,10,5,0.65625,43,0,12,NA,0.0514974071727662,NA,234,406,2836,20,16,NA,17,47,47,14,10,0.576354679802956,23,47,2879,20,17,13.5,1,10
P.Manning,2003,1,IND,12,4,0.75,26,0,16,NA,0.217607504324013,NA,379,585,4267,29,10,NA,1,1,30,2,2,0.647863247863248,1,30,4293,29,1,2.5,1,4.5
S.McNair,2003,1,TEN,12,4,0.75,138,4,14,NA,0.240615176280547,NA,250,421,3215,24,7,NA,14,2,35,1,8,0.593824228028504,9,35,3353,28,13,4.5,1,4.5
A.Brooks,2003,0,NO,8,8,0.5,175,2,16,NA,0.0244156137767031,NA,306,553,3546,24,8,NA,8,3,1,15,7,0.553345388788427,17,1,3721,26,7,8,1,16.5
A.Wright,2003,0,BAL,10,6,0.625,73,0,7,NA,-0.0558637750863602,NA,94,197,1199,9,8,NA,33,4,2,21,27,0.477157360406091,37,2,1272,9,33,30.5,0,11
B.Favre,2003,0,GB,10,6,0.625,15,0,16,NA,0.105591214371495,NA,308,492,3361,32,21,NA,10,5,3,7,1,0.626016260162602,3,3,3376,32,12,1,1,11
